Source;Target;Type;Weight
225;94;Undirected;10
225;137;Undirected;10
226;137;Undirected;10
226;171;Undirected;10
227;51;Undirected;10
227;106;Undirected;10
227;137;Undirected;10
228;37;Undirected;10
228;51;Undirected;10
229;51;Undirected;10
229;131;Undirected;10
229;220;Undirected;10
230;42;Undirected;10
230;51;Undirected;10
230;71;Undirected;10
230;78;Undirected;10
230;131;Undirected;10
230;137;Undirected;10
230;155;Undirected;10
230;177;Undirected;10
231;81;Undirected;10
232;81;Undirected;10
233;201;Undirected;10
234;36;Undirected;10
234;137;Undirected;10
235;51;Undirected;10
235;165;Undirected;10
